ID,Vote09,Vote10
662,民主,自民
663,民主,民主
664,民主,民主
665,自民,自民
666,棄権,民主
667,棄権,棄権
668,DK,棄権
669,その他,民主
670,自民,自民
671,DK,DK
672,自民,DK
673,棄権,棄権
674,自民,自民
675,自民,自民
676,棄権,棄権
677,棄権,棄権
678,DK,自民
679,DK,DK
680,自民,自民
681,民主,民主
682,自民,公明
683,自民,民主
684,DK,DK
685,自民,自民
686,民主,自民
687,民主,民主
688,DK,DK
689,公明,公明
690,DK,自民
691,その他,民主
692,民主,民主
693,その他,自民
694,民主,民主
695,共産・社民,民主
696,民主,棄権
697,DK,民主
698,自民,棄権
699,民主,民主
700,その他,民主
701,その他,棄権
702,民主,民主
703,民主,民主
704,その他,自民
705,DK,DK
706,棄権,民主
707,民主,民主
708,民主,民主
709,棄権,民主
710,DK,民主
711,公明,公明
712,民主,民主
713,公明,公明
714,棄権,棄権
715,民主,民主
716,自民,自民
717,自民,民主
718,自民,自民
719,その他,自民
720,自民,棄権
721,棄権,棄権
722,その他,自民
723,民主,民主
724,棄権,棄権
725,DK,民主
726,棄権,棄権
727,棄権,棄権
728,民主,民主
729,民主,民主
730,自民,自民
731,共産・社民,共産・社民
732,自民,自民
733,その他,民主
734,DK,DK
735,自民,自民
736,自民,自民
737,民主,民主
738,民主,棄権
739,公明,民主
740,民主,民主
741,棄権,棄権
742,民主,民主
743,公明,公明
744,DK,民主
745,自民,自民
746,棄権,棄権
747,その他,その他
748,その他,その他
749,DK,民主
750,自民,自民
751,民主,民主
752,民主,民主
753,共産・社民,共産・社民
754,その他,自民
755,棄権,民主
756,民主,民主
757,民主,民主
758,棄権,棄権
759,民主,民主
760,自民,自民
761,DK,民主
762,棄権,棄権
763,自民,DK
764,DK,公明
765,民主,民主
766,共産・社民,民主
767,自民,自民
768,その他,民主
769,民主,民主
770,その他,その他
771,棄権,DK
772,民主,民主
773,棄権,自民
774,民主,民主
775,共産・社民,共産・社民
776,民主,民主
777,公明,公明
778,民主,自民
779,民主,民主
780,民主,民主
781,民主,民主
782,自民,自民
783,民主,民主
784,自民,民主
785,自民,自民
786,その他,民主
787,民主,民主
788,棄権,民主
789,その他,民主
790,棄権,棄権
791,民主,民主
792,自民,民主
793,棄権,棄権
794,棄権,棄権
795,民主,民主
796,その他,民主
797,その他,DK
798,自民,自民
799,自民,自民
800,その他,棄権
801,民主,棄権
802,自民,民主
803,民主,民主
804,DK,DK
805,民主,民主
806,民主,民主
807,民主,民主
808,その他,民主
809,民主,民主
810,共産・社民,民主
811,自民,自民
812,棄権,民主
813,自民,自民
814,民主,民主
815,自民,自民
816,その他,自民
817,DK,共産・社民
818,民主,自民
819,DK,棄権
820,自民,自民
821,民主,棄権
822,民主,民主
823,その他,棄権
824,DK,DK
825,棄権,自民
826,民主,民主
827,自民,民主
828,民主,民主
829,自民,自民
830,民主,民主
831,棄権,DK
832,その他,その他
833,棄権,民主
834,民主,民主
835,民主,民主
836,公明,公明
837,民主,民主
838,DK,棄権
839,その他,棄権
840,公明,公明
841,民主,民主
842,民主,民主
843,民主,民主
844,自民,民主
845,その他,民主
846,棄権,棄権
847,民主,民主
848,民主,民主
849,DK,DK
850,棄権,棄権
851,民主,民主
852,棄権,民主
853,民主,民主
854,民主,民主
855,民主,民主
856,その他,民主
857,その他,DK
858,民主,民主
859,民主,民主
860,自民,棄権
861,その他,自民
862,棄権,棄権
863,自民,自民
864,その他,民主
865,公明,民主
866,民主,民主
867,民主,民主
868,共産・社民,民主
869,共産・社民,共産・社民
870,民主,民主
871,民主,民主
872,自民,公明
873,棄権,棄権
874,民主,民主
875,民主,自民
876,その他,民主
877,民主,その他
878,自民,民主
879,棄権,棄権
880,棄権,民主
881,棄権,民主
882,民主,民主
883,民主,民主
884,民主,民主
885,棄権,棄権
886,民主,民主
887,DK,民主
888,棄権,棄権
889,棄権,棄権
890,公明,公明
891,民主,民主
892,DK,民主
893,DK,棄権
894,自民,棄権
895,DK,DK
896,DK,DK
897,自民,自民
898,棄権,棄権
899,民主,民主
900,民主,民主
901,棄権,棄権
902,民主,民主
903,その他,民主
904,民主,民主
905,DK,民主
906,DK,民主
907,棄権,民主
908,自民,棄権
909,民主,民主
910,民主,民主
911,棄権,棄権
912,民主,民主
913,自民,民主
914,DK,DK
915,棄権,棄権
916,共産・社民,共産・社民
917,共産・社民,民主
918,民主,民主
919,民主,民主
920,棄権,民主
921,棄権,棄権
922,民主,民主
923,DK,民主
924,棄権,棄権
925,その他,自民
926,民主,民主
927,自民,その他
928,その他,自民
929,自民,自民
930,民主,民主
931,その他,民主
932,民主,民主
933,DK,DK
934,その他,民主
935,棄権,棄権
936,DK,公明
937,公明,公明
938,民主,民主
939,自民,民主
940,公明,公明
941,その他,民主
942,自民,自民
943,民主,民主
944,共産・社民,共産・社民
945,民主,棄権
946,その他,民主
947,その他,民主
948,棄権,民主
949,棄権,棄権
950,その他,その他
951,共産・社民,共産・社民
952,DK,民主
953,民主,自民
954,棄権,棄権
955,共産・社民,共産・社民
956,共産・社民,民主
957,自民,自民
958,棄権,民主
959,DK,DK
960,DK,民主
961,自民,自民
962,公明,自民
963,DK,棄権
964,自民,自民
965,共産・社民,民主
966,自民,自民
967,民主,民主
968,自民,棄権
969,棄権,棄権
970,民主,民主
971,棄権,DK
972,DK,民主
973,棄権,民主
974,民主,民主
975,自民,自民
976,DK,民主
977,DK,棄権
978,民主,民主
979,棄権,棄権
980,その他,自民
981,棄権,棄権
982,DK,自民
983,DK,民主
984,棄権,その他
985,DK,民主
986,共産・社民,共産・社民
987,棄権,自民
988,民主,DK
989,棄権,棄権
990,民主,民主
991,民主,民主
992,民主,民主
993,自民,自民
994,自民,民主
995,民主,民主
996,棄権,DK
997,棄権,棄権
998,民主,民主
999,その他,民主
1000,DK,棄権
1001,民主,民主
1002,棄権,民主
1003,民主,民主
1004,公明,公明
1005,自民,自民
1006,民主,民主
1007,棄権,棄権
1008,棄権,棄権
1009,自民,自民
1010,その他,民主
1011,棄権,棄権
1012,その他,その他
1013,DK,DK
1014,棄権,民主
1015,棄権,棄権
1016,棄権,その他
1017,民主,民主
1018,その他,民主
1019,棄権,棄権
1020,民主,民主
1021,民主,民主
1022,民主,民主
1023,その他,自民
1024,民主,民主
1025,自民,民主
1026,DK,DK
1027,民主,民主
1028,自民,自民
1029,棄権,棄権
1030,民主,民主
1031,民主,民主
1032,棄権,民主
1033,棄権,棄権
1034,民主,棄権
1035,棄権,民主
1036,民主,民主
1037,民主,民主
1038,共産・社民,共産・社民
1039,公明,公明
1040,自民,自民
1041,DK,民主
1042,民主,民主
1043,民主,民主
1044,棄権,棄権
1045,棄権,自民
1046,民主,民主
1047,自民,自民
1048,棄権,棄権
1049,棄権,その他
1050,民主,民主
1051,自民,自民
1052,民主,民主
1053,棄権,棄権
1054,民主,民主
1055,民主,民主
1056,民主,民主
1057,民主,民主
1058,民主,DK
1059,共産・社民,共産・社民
1060,公明,公明
1061,民主,民主
1062,民主,民主
1063,民主,民主
1064,自民,自民
1065,民主,民主
1066,自民,共産・社民
1067,自民,自民
1068,民主,民主
1069,民主,民主
1070,民主,共産・社民
1071,自民,民主
1072,DK,DK
1073,その他,民主
1074,民主,民主
1075,民主,自民
1076,自民,自民
1077,民主,自民
1078,その他,棄権
1079,自民,自民
1080,DK,民主
1081,共産・社民,共産・社民
1082,民主,民主
1083,共産・社民,共産・社民
1084,自民,自民
1085,棄権,自民
1086,自民,自民
1087,棄権,民主
1088,その他,自民
1089,DK,民主
1090,DK,DK
1091,自民,自民
1092,自民,自民
1093,自民,棄権
1094,民主,民主
1095,民主,民主
1096,民主,民主
1097,民主,民主
1098,棄権,棄権
1099,その他,共産・社民
1100,民主,民主
1101,自民,自民
1102,民主,民主
1103,民主,共産・社民
1104,棄権,民主
1105,棄権,棄権
1106,DK,民主
1107,DK,DK
1108,民主,民主
1109,自民,民主
1110,民主,民主
1111,DK,DK
1112,民主,民主
1113,自民,棄権
1114,公明,民主
1115,公明,民主
1116,民主,民主
1117,DK,自民
1118,棄権,民主
1119,その他,民主
1120,棄権,棄権
1121,自民,民主
1122,棄権,棄権
1123,公明,公明
1124,民主,民主
1125,民主,民主
1126,その他,その他
1127,共産・社民,共産・社民
1128,民主,民主
1129,棄権,棄権
1130,DK,民主
1131,その他,民主
1132,DK,民主
1133,自民,自民
1134,棄権,DK
1135,棄権,棄権
1136,民主,民主
1137,民主,民主
1138,自民,自民
1139,DK,棄権
1140,棄権,棄権
1141,棄権,棄権
1142,棄権,DK
1143,民主,民主
1144,民主,民主
1145,棄権,棄権
1146,民主,民主
1147,DK,その他
1148,棄権,棄権
1149,自民,自民
1150,民主,民主
1151,自民,民主
1152,共産・社民,共産・社民
1153,公明,民主
1154,民主,民主
1155,民主,民主
1156,自民,自民
1157,棄権,棄権
1158,公明,公明
1159,民主,民主
1160,棄権,棄権
1161,棄権,棄権
1162,その他,自民
1163,棄権,棄権
1164,DK,DK
1165,棄権,民主
1166,民主,民主
1167,民主,民主
1168,棄権,自民
1169,棄権,棄権
1170,民主,民主
1171,公明,公明
1172,棄権,棄権
1173,民主,棄権
1174,民主,民主
1175,民主,民主
1176,民主,共産・社民
1177,民主,民主
1178,共産・社民,共産・社民
1179,自民,自民
1180,自民,棄権
1181,民主,民主
1182,民主,民主
1183,公明,公明
1184,DK,棄権
1185,公明,公明
1186,DK,棄権
1187,共産・社民,共産・社民
1188,自民,自民
1189,民主,民主
1190,民主,民主
1191,公明,公明
1192,民主,民主
1193,棄権,棄権
1194,DK,共産・社民
1195,棄権,棄権
1196,その他,民主
1197,共産・社民,共産・社民
1198,自民,自民
1199,自民,民主
1200,民主,民主
1201,民主,民主
1202,棄権,棄権
1203,自民,自民
1204,その他,民主
1205,民主,民主
1206,共産・社民,民主
1207,民主,民主
1208,その他,その他
1209,DK,DK
1210,自民,民主
1211,棄権,棄権
1212,民主,民主
1213,自民,自民
1214,棄権,民主
1215,民主,民主
1216,民主,民主
1217,民主,民主
1218,DK,民主
1219,棄権,棄権
1220,棄権,棄権
1221,DK,DK
1222,棄権,民主
1223,自民,自民
1224,その他,その他
1225,その他,民主
1226,公明,棄権
1227,民主,民主
1228,民主,民主
1229,棄権,棄権
1230,DK,棄権
1231,自民,自民
1232,民主,民主
1233,自民,民主
1234,民主,棄権
1235,共産・社民,棄権
1236,棄権,棄権
1237,棄権,民主
1238,民主,自民
1239,その他,その他
1240,自民,自民
1241,棄権,棄権
1242,自民,自民
1243,棄権,棄権
1244,民主,民主
1245,その他,自民
1246,DK,DK
1247,DK,DK
1248,民主,民主
1249,自民,自民
1250,民主,自民
1251,民主,民主
1252,DK,棄権
1253,DK,民主
1254,民主,民主
1255,棄権,棄権
1256,民主,民主
1257,民主,民主
1258,その他,自民
1259,民主,民主
1260,自民,自民
1261,自民,棄権
1262,その他,その他
1263,民主,民主
1264,民主,民主
1265,民主,民主
1266,棄権,DK
1267,その他,民主
1268,DK,DK
1269,その他,民主
1270,共産・社民,民主
1271,その他,民主
1272,民主,民主
1273,民主,民主
1274,自民,自民
1275,その他,民主
1276,民主,民主
1277,民主,民主
1278,民主,民主
1279,共産・社民,自民
1280,DK,民主
1281,民主,DK
1282,DK,民主
1283,民主,民主
1284,民主,自民
1285,その他,自民
1286,棄権,DK
1287,自民,自民
1288,共産・社民,棄権
1289,DK,DK
1290,自民,自民
1291,公明,公明
1292,DK,共産・社民
1293,DK,DK
1294,公明,民主
1295,民主,民主
1296,民主,民主
1297,自民,棄権
1298,民主,民主
1299,棄権,棄権
1300,棄権,棄権
1301,棄権,棄権
1302,DK,共産・社民
1303,自民,自民
1304,民主,民主
1305,棄権,民主
1306,公明,公明
1307,自民,棄権
1308,自民,自民
1309,DK,民主
1310,公明,公明
1311,棄権,民主
1312,公明,公明
1313,民主,民主
1314,自民,民主
1315,民主,民主
1316,民主,民主
1317,その他,自民
1318,DK,棄権
1319,棄権,民主
1320,棄権,民主
1321,棄権,DK
1322,DK,DK
1323,棄権,棄権
1324,その他,民主
1325,自民,自民
1326,棄権,棄権
1327,棄権,DK
1328,自民,自民
1329,民主,民主
1330,民主,民主
1331,その他,民主
1332,自民,DK
1333,自民,自民
1334,民主,民主
1335,民主,DK
1336,DK,DK
1337,その他,自民
1338,自民,民主
1339,民主,民主
1340,自民,自民
1341,自民,自民
1342,民主,民主
1343,棄権,DK
1344,その他,棄権
1345,民主,民主
1346,公明,公明
1347,民主,民主
1348,民主,民主
1349,民主,公明
1350,棄権,棄権
1351,DK,その他
1352,自民,自民
1353,棄権,棄権
1354,棄権,DK
1355,DK,棄権
1356,自民,自民
1357,民主,民主
1358,棄権,棄権
1359,棄権,棄権
1360,その他,民主
1361,自民,民主
1362,民主,民主
1363,DK,DK
1364,公明,公明
1365,その他,棄権
1366,民主,自民
1367,自民,棄権
1368,民主,棄権
1369,民主,民主
1370,民主,民主
1371,棄権,DK
1372,棄権,棄権
1373,民主,民主
1374,民主,民主
1375,自民,自民
1376,自民,民主
1377,棄権,公明
1378,自民,棄権
1379,自民,民主
1380,民主,その他
1381,棄権,棄権
1382,棄権,民主
1383,公明,公明
1384,民主,民主
1385,民主,棄権
1386,民主,自民
1387,民主,棄権
1388,自民,自民
1389,DK,自民
1390,共産・社民,共産・社民
1391,自民,民主
1392,棄権,棄権
1393,その他,民主
1394,民主,民主
1395,棄権,棄権
1396,DK,DK
1397,自民,棄権
1398,その他,DK
1399,民主,DK
1400,棄権,棄権
1401,自民,自民
1402,民主,民主
1403,民主,民主
1404,自民,民主
1405,DK,DK
1406,共産・社民,DK
1407,DK,DK
1408,棄権,民主
1409,棄権,棄権
1410,民主,民主
1411,DK,DK
1412,自民,DK
1413,DK,民主
1414,自民,自民
1415,民主,民主
1416,その他,民主
1417,DK,共産・社民
1418,自民,自民
1419,DK,民主
1420,民主,民主
1421,DK,民主
1422,民主,民主
1423,棄権,棄権
1424,DK,民主
1425,民主,民主
1426,棄権,公明
1427,民主,民主
1428,自民,DK
1429,自民,自民
1430,DK,民主
1431,民主,民主
1432,自民,民主
1433,棄権,棄権
1434,棄権,棄権
1435,自民,自民
1436,民主,自民
1437,その他,民主
1438,自民,自民
1439,DK,民主
1440,DK,DK
1441,棄権,棄権
1442,棄権,民主
1443,自民,自民
1444,自民,自民
1445,DK,自民
1446,自民,共産・社民
1447,その他,民主
1448,DK,民主
1449,共産・社民,共産・社民
1450,自民,DK
1451,自民,自民
1452,自民,自民
1453,民主,民主
1454,民主,自民
1455,自民,自民
1456,民主,民主
1457,民主,民主
1458,民主,民主
1459,民主,民主
1460,民主,民主
1461,自民,自民
1462,民主,民主
1463,民主,民主
1464,民主,民主
1465,棄権,民主
1466,民主,民主
1467,民主,民主
1468,民主,民主
1469,民主,自民
1470,棄権,棄権
1471,民主,民主
1472,民主,民主
1473,民主,民主
1474,民主,民主
1475,棄権,棄権
1476,公明,自民
1477,共産・社民,共産・社民
1478,民主,民主
1479,民主,民主
1480,自民,自民
1481,民主,民主
1482,共産・社民,共産・社民
1483,民主,民主
1484,棄権,棄権
1485,民主,民主
1486,その他,その他
1487,その他,公明
1488,自民,民主
1489,公明,棄権
1490,民主,民主
1491,民主,民主
1492,公明,公明
1493,DK,民主
1494,棄権,棄権
1495,共産・社民,民主
1496,自民,棄権
1497,DK,棄権
1498,棄権,棄権
1499,自民,自民
1500,その他,その他
1501,自民,自民
1502,棄権,棄権
1503,自民,自民
1504,DK,DK
1505,共産・社民,共産・社民
1506,棄権,棄権
1507,棄権,棄権
1508,その他,その他
1509,棄権,民主
1510,棄権,棄権
1511,棄権,棄権
1512,棄権,民主
1513,公明,その他
1514,公明,公明
1515,棄権,棄権
1516,民主,民主
1517,民主,民主
1518,自民,民主
1519,その他,その他
1520,棄権,棄権
1521,自民,民主
1522,民主,DK
1523,民主,民主
1524,自民,自民
1525,DK,DK
1526,棄権,自民
1527,民主,民主
1528,棄権,民主
1529,DK,公明
1530,民主,民主
1531,棄権,棄権
1532,DK,DK
1533,その他,棄権
1534,自民,棄権
1535,自民,自民
1536,民主,民主
1537,民主,民主
1538,その他,DK
1539,自民,自民
1540,自民,自民
1541,自民,自民
1542,自民,自民
1543,棄権,棄権
1544,民主,民主
1545,民主,民主
1546,自民,自民
1547,DK,DK
1548,棄権,棄権
1549,民主,民主
1550,民主,民主
1551,民主,民主
1552,棄権,棄権
1553,自民,自民
1554,その他,民主
1555,民主,民主
1556,共産・社民,共産・社民
