Country,Population,Area,GDP,PPP,GDP_per_capita,PPP_per_capita,G7,G20,OECD,HDI_2018,Polity_Score,Polity_Type,FH_PR,FH_CL,FH_Total,FH_Status
Cuba,11326616,106440,100023,,8830.79288641903,,0,0,0,0.778,-5,Closed Anocracy,1,13,14,NF
Cyprus,1207359,9240,24564.65,34680.05,20345.7712246316,28723.8923965449,0,0,0,0.873,10,Full Democracy,38,56,94,F
Czechia,10708981,77240,246489.25,429753.88,23017.0592328066,40130.230878176,0,0,1,0.891,9,Democracy,36,55,91,F
Denmark,5841065,43826,350911.02,331502.62,60076.5476843692,56753.7974667291,0,0,1,0.93,10,Full Democracy,40,57,97,F
Djibouti,988000,23180,3318.72,5010.34,3359.02834008097,5071.19433198381,0,0,0,0.495,3,Open Anocracy,5,19,24,NF
Dominica,71986,750,596.03,846.2,8279.80440641236,11755.0634845664,0,0,0,0.724,,,37,56,93,F
Dominican Republic,10847910,48320,88941.3,192810.94,8198.93417257334,17774.0172991848,0,0,0,0.745,7,Democracy,26,41,67,PF
Ecuador,17643054,248360,107435.66,202512.12,6089.40266237353,11478.2916835147,0,0,0,0.758,5,Open Anocracy,27,38,65,PF
Egypt,102334404,995450,303175.13,1145967.04,2962.59242395158,11198.2578214849,0,0,0,0.7,-4,Closed Anocracy,7,14,21,NF
El Salvador,6486205,20720,27022.64,56609.41,4166.17112780123,8727.66278586631,0,0,0,0.667,8,Democracy,32,34,66,PF
Equatorial Guinea,1402985,28050,11026.77,27299.7,7859.50669465461,19458.2978435265,0,0,0,0.588,-6,Autocracy,0,6,6,NF
Eritrea,3546421,101000,2065,6597.43,582.277174650161,1860.30648927468,0,0,0,0.434,-7,Autocracy,1,1,2,NF
Estonia,1326535,42390,31386.95,48064.48,23660.8532756392,36233.1035366575,0,0,1,0.882,9,Democracy,38,56,94,F
Eswatini,1160164,17200,4405.41,10016.34,3797.23039156533,8633.55525598105,0,0,0,0.608,-9,Autocracy,1,18,19,NF
Ethiopia,114963588,1000000,96107.66,235309.04,835.983476785711,2046.81363981089,0,0,0,0.47,1,Open Anocracy,10,14,24,NF
Fiji,896445,18270,5535.55,12496.36,6175.00237047449,13939.9070774002,0,0,0,0.724,4,Open Anocracy,24,36,60,PF
Finland,5540720,303890,268761.2,273290.92,48506.5478854734,49324.0806249007,0,0,1,0.925,10,Full Democracy,40,60,100,F
France,68147691,657766,2721648.27,3110915.15,39937.4979557268,45649.6046212336,1,1,1,0.891,9,Democracy,38,52,90,F
Gabon,2225734,257670,16657.96,32006.42,7484.25463240441,14380.1640267885,0,0,0,0.702,3,Open Anocracy,3,19,22,NF
Gambia,2416668,10120,1763.82,5008.15,729.856149044883,2072.33678767625,0,0,0,0.466,4,Open Anocracy,20,26,46,PF
Georgia,3989167,69490,17743.2,54387.77,4447.84587860072,13633.8664187285,0,0,0,0.786,7,Democracy,24,37,61,PF
Germany,83783942,348560,3845630.03,4514794.31,45899.3685209989,53886.1529098261,1,1,1,0.939,10,Full Democracy,39,55,94,F
Ghana,31072940,227540,66983.63,158389.98,2155.69012780896,5097.36059735577,0,0,0,0.596,8,Democracy,35,47,82,F
Greece,10423054,128900,209852.76,325789.65,20133.5194080353,31256.640328257,0,0,1,0.872,10,Full Democracy,37,51,88,F
Grenada,56770,410450,1228.17,1920.88,21634.137748811,33836.1810815572,0,0,0,0.763,,,37,52,89,F
Guatemala,17915568,107160,76710.39,149287.01,4281.77270182,8332.80920817024,0,0,0,0.651,8,Democracy,21,31,52,PF
Guinea,13132795,245720,13590.28,31729.85,1034.83531114283,2416.07746104314,0,0,0,0.466,4,Open Anocracy,15,25,40,PF
Guinea-Bissau,1968001,28120,1340.39,3742.36,681.092133591396,1901.60472479435,0,0,0,0.461,6,Democracy,17,29,46,PF
Guyana,786552,196850,4280.44,7430.91,5442.03053326417,9447.44911970219,0,0,0,0.67,7,Democracy,31,43,74,F
Haiti,11402528,27560,8498.98,20135.44,745.359274715221,1765.87507612347,0,0,0,0.503,5,Open Anocracy,16,22,38,PF
Holy See,801,0,,,,,0,0,0,,,,,,,
Honduras,9904607,111890,25095.4,55707.59,2533.70981806749,5624.41195294271,0,0,0,0.623,7,Democracy,19,26,45,PF
Hungary,9660351,90530,160967.16,308700.19,16662.6616362076,31955.3802962232,0,0,1,0.845,10,Full Democracy,27,43,70,PF
Iceland,341243,100250,24188.04,20478.35,70882.1572896733,60011.0478456701,0,0,1,0.938,,,37,57,94,F
India,1380004385,2973190,2875142.31,9058691.69,2083.42983634795,6564.24848244232,0,1,0,0.647,9,Democracy,34,37,71,F
Indonesia,273523615,1811570,1119190.78,3117334.24,4091.75193154712,11396.9473531563,0,1,0,0.707,9,Democracy,30,31,61,PF
Iran,83992949,1628550,445345.28,1172665.5,5302.17459086953,13961.4755043307,0,0,0,0.797,-7,Autocracy,7,10,17,NF
Iraq,40222493,434320,234094.04,419689.63,5819.97838870902,10434.2023255495,0,0,0,0.689,6,Democracy,17,14,31,NF
Ireland,4937786,68890,388698.71,411091.81,78719.2296304457,83254.27833446,0,0,1,0.942,10,Full Democracy,39,58,97,F
Israel,8655535,21640,395098.67,357633.41,45646.9380575551,41318.4638500104,0,0,1,0.906,6,Democracy,33,43,76,F
Italy,60461826,294140,2001244.39,2585936.45,33099.3045099233,42769.7378838674,1,1,1,0.883,10,Full Democracy,36,53,89,F
Jamaica,2961167,10830,16458.07,29275.75,5557.96751753616,9886.55823869441,0,0,0,0.726,9,Democracy,34,44,78,F
Japan,126476461,364555,5081769.54,5247580.84,40179.5678011579,41490.5730165869,1,1,1,0.915,10,Full Democracy,40,56,96,F
Jordan,10203134,88780,43743.66,100495.62,4287.27683082473,9849.48546201589,0,0,0,0.723,-3,Closed Anocracy,12,25,37,PF
Kazakhstan,18776707,2699700,180161.74,478232.47,9594.9593291305,25469.4537226362,0,0,0,0.817,-6,Autocracy,5,18,23,NF
Kenya,53771296,569140,95503.09,220729.73,1776.09797613954,4104.97321842494,0,0,0,0.579,9,Democracy,19,29,48,PF
South Korea,51269185,97230,1642383.22,2046766.34,32034.5100083023,39921.9597502866,0,1,1,0.906,8,Democracy,33,50,83,F
Kosovo,1810463,10887,7926.11,20056.14,4377.94641481212,11077.906590745,0,0,0,,8,Democracy,25,31,56,PF
Kuwait,4270571,17820,134761.2,213933.11,31555.7802457798,50094.7320627616,0,0,0,0.808,-7,Autocracy,13,23,36,PF
Kyrgyzstan,6524195,191800,8454.62,33163.86,1295.88707878903,5083.21103216565,0,0,0,0.674,8,Democracy,12,27,39,PF
Laos,7275560,230800,18173.84,54922.83,2497.93005624309,7548.94880943872,0,0,0,0.604,-7,Autocracy,2,12,14,NF
Latvia,1886198,62200,34117.2,59250.54,18087.8147469142,31412.6830799312,0,0,1,0.854,8,Democracy,37,52,89,F
Lebanon,6825445,10230,53367.04,112438.06,7818.83672053617,16473.3669379799,0,0,0,0.73,6,Democracy,14,30,44,PF
Lesotho,2142249,30360,2460.07,6468.11,1148.35857082907,3019.30821300418,0,0,0,0.518,8,Democracy,27,36,63,PF
Liberia,5057681,96320,3070.52,7389.76,607.1003687263,1461.09649857316,0,0,0,0.465,7,Democracy,27,33,60,PF
Libya,6871292,1759540,52076.25,96327.26,7578.81487207937,14018.7987935893,0,0,0,0.708,,,1,8,9,NF
Liechtenstein,38128,160,6552.86,,171864.771296685,,0,0,0,0.917,,,33,57,90,F
Lithuania,2722289,62674,54219.32,100384.5,19916.8126528815,36875.0342083445,0,0,1,0.869,10,Full Democracy,38,53,91,F
Luxembourg,625978,2590,71104.92,71000.34,113590.126170568,113423.059596344,0,0,1,0.909,10,Full Democracy,38,60,98,F
Madagascar,27691018,581795,14083.91,43395.91,508.609325955442,1567.14751332002,0,0,0,0.521,6,Democracy,26,35,61,PF
Malawi,19129952,94280,7666.7,19437.62,400.769432144942,1016.08305133228,0,0,0,0.485,6,Democracy,26,36,62,PF
Malaysia,32365999,328550,364701.52,889349,11268.0445921042,27477.8788691182,0,0,0,0.804,7,Democracy,21,31,52,PF
Maldives,540544,300,5729.25,9777.27,10599.0446661141,18087.8337378641,0,0,0,0.719,,,18,22,40,PF
Mali,20250833,1220190,17510.14,44723.72,864.662703010785,2208.48791750937,0,0,0,0.427,5,Open Anocracy,17,24,41,PF
Malta,441543,320,14786.16,21100.07,33487.4746060973,47787.1237908879,0,0,0,0.885,,,35,55,90,F
Mauritania,4649658,1030700,7593.75,16745.26,1633.18463422471,3601.39605966718,0,0,0,0.527,-2,Closed Anocracy,13,21,34,PF
Mauritius,1271768,2030,14180.44,28788.45,11150.1783344132,22636.5579256594,0,0,0,0.796,10,Full Democracy,37,52,89,F
Mexico,128932753,1943950,1258286.72,2573847.6,9759.24806321323,19962.7134309309,0,1,1,0.767,8,Democracy,27,35,62,PF
Moldova,4033963,32850,11955.44,34001.22,2963.69599820326,8428.73868699341,0,0,0,0.711,9,Democracy,26,34,60,PF
Monaco,39242,1,7188.24,,183177.208093369,,0,0,0,,,,26,57,83,F
Mongolia,3278290,1553560,13852.85,38687.54,4225.63287567604,11801.1341278532,0,0,0,0.735,10,Full Democracy,36,48,84,F
Montenegro,628066,13450,5494.74,13254.36,8748.66654141444,21103.45091121,0,0,0,0.816,9,Democracy,22,40,62,PF
Morocco,36910560,446300,118725.28,278822.26,3216.5667494614,7553.99701332085,0,0,0,0.676,-4,Closed Anocracy,13,24,37,PF
Mozambique,31255435,786380,14934.16,38962.86,477.810019281447,1246.59471224765,0,0,0,0.446,5,Open Anocracy,14,31,45,PF
Namibia,2540905,823290,12366.53,26207.75,4866.97849781869,10314.3368209358,0,0,0,0.645,6,Democracy,31,46,77,F
Nepal,29136808,143350,30641.38,93550.06,1051.63818905626,3210.71752266068,0,0,0,0.579,7,Democracy,25,31,56,PF
Netherlands,17474830,34706,915254.4,1000918.84,52375.5824806307,57277.7440467232,0,0,1,0.934,10,Full Democracy,40,59,99,F
New Zealand,4842780,263820,206928.77,204260.27,42729.3352165492,42178.3087400212,0,0,1,0.921,10,Full Democracy,40,57,97,F
Nicaragua,6624554,120340,12520.92,37717.22,1890.07743011831,5693.54857700609,0,0,0,0.651,6,Democracy,10,21,31,NF
Niger,24206644,1266700,12928.15,19946.82,534.074446668444,824.022528690883,0,0,0,0.377,5,Open Anocracy,20,28,48,PF
Nigeria,206139589,910770,448120.43,1034493.13,2173.86884379594,5018.41075272543,0,0,0,0.534,7,Democracy,22,25,47,PF
North Macedonia,2083374,25220,12694.82,34628.88,6093.3946569363,16621.5379475793,0,0,0,0.759,,,24,39,63,PF
Norway,5421241,365268,403336.36,359298.96,74399.2676215649,66276.1459968299,0,0,1,0.954,10,Full Democracy,40,60,100,F
Oman,5106626,309500,76983.09,141454.11,15075.1376740729,27700.111580523,0,0,0,0.834,-8,Autocracy,6,17,23,NF
Pakistan,220892340,770880,278221.91,1030292.07,1259.53625191349,4664.22724300897,0,0,0,0.56,7,Democracy,16,22,38,PF
Panama,4314767,74340,66800.8,132966.63,15481.9020354981,30816.6420110286,0,0,0,0.795,9,Democracy,36,48,84,F
Papua New Guinea,8947024,452860,24969.61,37319.09,2790.82854812952,4171.1176811418,0,0,0,0.543,5,Open Anocracy,23,39,62,PF
Paraguay,7132538,397300,38145.29,91850.11,5348.06684520994,12877.6194392515,0,0,0,0.724,9,Democracy,28,37,65,PF
Peru,32971854,1280000,226848.05,418859.28,6880.05139171125,12703.5404196561,0,0,0,0.759,9,Democracy,30,42,72,F
Philippines,109581078,298170,376795.51,887473.71,3438.50888198052,8098.7860878682,0,0,0,0.712,8,Democracy,25,34,59,PF
Poland,37846611,306230,592164.4,1205917.5,15646.4313277614,31863.2888952726,0,0,1,0.872,10,Full Democracy,35,49,84,F
Portugal,10196709,91590,237686.08,352447.52,23310.0777907852,34564.8306723277,0,0,1,0.85,10,Full Democracy,39,57,96,F
Qatar,2881053,11610,183466.21,269279.49,63680.2620430794,93465.6495385541,0,0,0,0.848,-10,Autocracy,7,18,25,NF
Romania,19237691,230170,250077.44,565710.79,12999.3479986761,29406.3767839914,0,0,0,0.816,9,Democracy,35,48,83,F
Russia,145934462,16376870,1699876.58,4192936.67,11648.2190478079,28731.6416735068,0,1,0,0.824,4,Open Anocracy,5,15,20,NF
Rwanda,12952218,24670,10122.47,26007.35,781.524060203434,2007.94566613996,0,0,0,0.536,-3,Closed Anocracy,8,14,22,NF
Saint Kitts and Nevis,53199,260,1050.99,1391.31,19755.8224778661,26152.935205549,0,0,0,0.777,,,36,53,89,F
Saint Lucia,183627,610,2122.45,2539.24,11558.4854079193,13828.2496582747,0,0,0,0.745,,,38,54,92,F
Saint Vincent and the Grenadines,110940,390,825.39,1407.39,7439.96755002704,12686.0465116279,0,0,0,0.728,,,36,55,91,F
San Marino,33931,60,1637.93,2122.52,48272.3762930653,62554.0066605759,0,0,0,,,,38,57,95,F
Sao Tome and Principe,219159,960,429.02,852.73,1957.57418130216,3890.91937816836,0,0,0,0.609,,,35,49,84,F
Saudi Arabia,34813871,2149690,792966.84,1643080.03,22777.3245899601,47196.1313925705,0,1,0,0.857,-10,Autocracy,1,6,7,NF
Senegal,16743927,192530,23578.08,54383.04,1408.15711869742,3247.92624812566,0,0,0,0.514,7,Democracy,29,42,71,PF
Serbia,8737371,87460,51409.17,123012.23,5883.82592429691,14078.8607923367,0,0,0,0.799,8,Democracy,23,43,66,PF
Seychelles,98347,460,1698.84,2732.88,17273.9381984199,27788.1379198145,0,0,0,0.801,,,29,43,72,PF
Sierra Leone,7976983,72180,3941.47,13034.4,494.105352863357,1634.00122577671,0,0,0,0.438,7,Democracy,28,37,65,PF
Singapore,5850342,700,372062.53,557255.42,63596.7145168607,95251.7681872273,0,0,0,0.935,-2,Closed Anocracy,19,31,50,PF
Slovakia,5459642,48088,105422.3,177655.42,19309.3796259901,32539.7562697334,0,0,1,0.857,10,Full Democracy,36,52,88,F
Slovenia,2078938,20140,53742.16,80361.84,25850.7757326096,38655.2364716985,0,0,1,0.902,10,Full Democracy,39,55,94,F
Somalia,15893222,627340,917.04,,57.7000686204471,,0,0,0,0.557,5,Open Anocracy,1,6,7,NF
South Africa,59308690,1213090,351431.65,747577.38,5925.46640298412,12604.8540272935,0,1,0,0.705,9,Democracy,33,46,79,F
South Sudan,11193725,610952,11997.8,15784.93,1071.83265624267,1410.15881665844,0,0,0,0.413,,,-2,4,2,NF
Spain,46754778,498800,1394116.31,1894494.24,29817.6222759522,40519.7997090265,0,0,1,0.893,10,Full Democracy,38,54,92,F
Sri Lanka,21413249,62710,84008.78,287228.4,3923.21501515253,13413.5833380539,0,0,0,0.78,6,Democracy,23,33,56,PF
Sudan,43849260,1765048,18902.28,178155.96,431.074093382648,4062.91827957872,0,0,0,0.508,-4,Closed Anocracy,2,10,12,NF
Suriname,586632,156000,3985.25,9302.93,6793.44120334383,15858.2041211526,0,0,0,0.724,5,Open Anocracy,32,43,75,F
Sweden,10099265,410340,530832.91,547506.56,52561.5388842653,54212.5154652344,0,0,1,0.937,10,Full Democracy,40,60,100,F
Switzerland,8654622,39516,703082.44,590532.23,81237.798716108,68233.1625806419,0,0,1,0.946,10,Full Democracy,39,57,96,F
Syria,17500658,183630,40405.01,,2308.7709044997,,0,0,0,0.549,-9,Autocracy,-3,3,0,NF
Taiwan,23816775,35410,589391,1099030,24746.8853360709,46145.2064773673,0,0,0,,10,Full Democracy,37,56,93,F
Tajikistan,9537645,139960,8116.63,30155.79,851.009866691411,3161.76477526685,0,0,0,0.656,-3,Closed Anocracy,0,9,9,NF
Tanzania,59734218,885800,63177.07,145034.69,1057.63617764277,2428.0001455782,0,0,0,0.528,3,Open Anocracy,17,23,40,PF
Thailand,69799978,510890,543649.98,1283169.74,7788.68411677723,18383.5264246072,0,0,0,0.765,-3,Closed Anocracy,6,26,32,PF
Timor-Leste,1318445,14870,1673.54,4000.35,1269.32864093686,3034.14249361938,0,0,0,0.626,8,Democracy,32,39,71,F
Togo,8278724,54390,5459.98,12546.55,659.519510494612,1515.51736716914,0,0,0,0.513,-2,Closed Anocracy,16,28,44,PF
Trinidad and Tobago,1399488,5130,24100.2,37405.11,17220.726437097,26727.7104198107,0,0,0,0.799,10,Full Democracy,33,49,82,F
Tunisia,11818619,155360,38797.71,127327.21,3282.76171691464,10773.4423116609,0,0,0,0.739,7,Democracy,32,38,70,F
Turkey,84339067,769630,754411.71,2316406.55,8944.98524627976,27465.4040220767,0,1,1,0.807,-4,Closed Anocracy,16,16,32,NF
Uganda,45741007,199810,34387.23,78492.14,751.781218983657,1716.01250492802,0,0,0,0.528,-1,Closed Anocracy,11,23,34,NF
Ukraine,43733762,579320,153781.07,533868.37,3516.30097589135,12207.2363680947,0,0,0,0.75,4,Open Anocracy,27,35,62,PF
United Arab Emirates,9890402,83600,421142.27,650567.67,42580.9052048643,65777.6771864278,0,0,0,0.866,-8,Autocracy,5,12,17,NF
United Kingdom,68517621,257180,2857480.18,3124143.83,41704.3110705785,45596.2099151107,1,1,1,0.92,8,Democracy,39,55,94,F
United States,334308644,9158020,21544825,20656920.46,64445.9106477666,61789.968134955,1,1,1,0.92,8,Democracy,33,53,86,F
Uruguay,3473730,175020,56045.91,76287.37,16134.2159580624,21961.2261171709,0,0,0,0.808,10,Full Democracy,40,58,98,F
Uzbekistan,33469203,425400,57921.29,227356.12,1730.58468108727,6792.99474206183,0,0,0,0.71,-9,Autocracy,2,8,10,NF
Venezuela,28435940,882050,482359.32,506339.38,16963.0165206425,17806.3176388753,0,0,0,0.726,-3,Closed Anocracy,2,14,16,NF
Vietnam,97338579,310070,261921.24,742462.14,2690.82662486782,7627.62460298501,0,0,0,0.693,-7,Autocracy,3,17,20,NF
West Bank and Gaza,5101414,6020,14615.9,7122.11,2865.06839084223,1396.10507988569,0,0,0,0.69,,,4,21,25,NF
Western Sahara,597339,266000,908.9,,1521.58154749648,,0,0,0,,,,-3,7,4,NF
Yemen,29825964,527970,27591.26,91982,925.075212992277,3083.9573198707,0,0,0,0.463,,,1,10,11,NF
Zambia,18383955,743390,23064.72,62449.13,1254.61142610499,3396.9366221795,0,0,0,0.591,6,Democracy,22,32,54,PF
Zimbabwe,14862924,386850,21440.76,48524.95,1442.56675200654,3264.83200748386,0,0,0,0.563,4,Open Anocracy,12,17,29,PF
